"HolderAddress","Balance","PendingBalanceUpdate"
"0x00fffdca5b69e69204326147e383fd7d67e2ba37","6694863.14046825","No"
"0x08bc17022c2692ff325a1b8f51befabe712e678f","32466349.3236949","No"
"0x09608d02e8bc913eb5ae1126481b273e2bbabaed","2159305.64133366","No"
"0x0bf580ac0c3f33ff2f9004b0fcec972a633968d5","2413.726046296","No"
"0x0e1874b48235e6cf6a0ca3927c5330f69a22a4f6","2145774.62460505","No"
"0x131b389eea3d9aee8284ded999ba2d117a5dfeed","7197684.46499592","No"
"0x13c4e6517db1f64f8743d49de7af43ac0c5928bd","9999631.34796873","No"
"0x17d7cf7eb19f9c8eec567fa1e3509991da56bfb0","14395368.9299918","No"
"0x18168dca395fbab5732fe9b4df604e6cec669efb","17994209.6533154","No"
"0x18ff7f454b6a3233113f51030384f49054dd27bf","278311.29899079","No"
"0x1b97c4ce816bff8819733eddbe94b80e62ecd3f1","51.107776657","No"
"0x1e5d7582157ca207d592a6229fe43ab2e0928ed6","3810849.48117932","No"
"0x27cbea1a3334623edef73ce20b2e27b15cac2881","1006848.61585825","No"
"0x29c187c2127c94f2af17a3088dd359c50c1497de","2788010.25693526","No"
"0x300705664a9477ce2c9c4b4f442fdf8f740f95cf","2465191.45973809","No"
"0x3b39756c2f23aa7e8f25ec2fa5efd047d89bd7b6","70572.33574077","No"
"0x457e2c4002991d909a929253d3f53c1b398ca530","446853.320848496","No"
"0x48116cf7e4a7ab4ce6024f7e7685f17c3eeef14d","443365633.276637","No"
"0x489af45643619fa6ee3313d2c6e878f6ab099438","1799420.86166177","No"
"0x53e8477e4dcb6425f0a2fbb84610005a4ec56f8c","17994209.6533154","No"
"0x5513d576a2613b17ff8cae29184960434cbf017a","215409.289369812","No"
"0x557d00045afb366c17722755c47522a1406a1c73","5758148.37383162","No"
"0x5bea098e2a475f24b050dc5b1b75de10880b7922","1799420.86166177","No"
"0x5dbc610cfb52b950917dc774305d3966bcd2b45a","24801.671841487","No"
"0x66d7a0e2871d30c45f1b1536898fe841bcecaa86","4833680.38378545","No"
"0x6a92f5688b8b706196eae764e0f7d6d9a80864f9","497275.266797302","No"
"0x6fa91be4f46183f98be5044735a9cae70cb66df7","1597272.73902583","No"
"0x70ef2ac2c9735099ffec02b8a9735aaad9f19302","17761886.7252923","No"
"0x75a060dc6ca6d42734d7956f039ef30c14bc9922","7197684.46499592","No"
"0x7dc881229ee8f66751fea6825847ac1188ef143c","14395368.9299918","No"
"0x8483b36a126113fa8df4e0d0281495dbd3bb553d","2477348.51488078","No"
"0x8562945606dc897468102994438d991ab9a35558","256358540.254771","No"
"0x85a1f8489b84c3fc56f6d63f5b37fc3b1f44a944","595695.09526974","No"
"0x862687339c560f7310960aa1e05717579713bf70","1799420.86166177","No"
"0x8f5e86b56aeeb4061a2ac9ef2f0f89d32c463728","1E-09","No"
"0x977a6494ff40323db2b18a50d145441a85d85672","5398262.59415973","No"
"0xa278eefb6a2a3a005cc2d84373ffac2c7eb2fcae","10796527.1974939","No"
"0xa577d0eb3521920f8ab847d1a5a41a7088c8740a","3023027.29419736","No"
"0xa6496acf04685c6dc77dea93a99f4745efaa7cb0","1799420.86166177","No"
"0xa87e0f677d138856d3f5dab8c7bff4dd18548ee7","1799420.86166177","No"
"0xabed7b307437bfa4d7de96c619b78932729d7a26","1799420.86166177","No"
"0xbe7334985a0084084d642cae6ed85d43eec25be9","8087494.00197201","No"
"0xc2c61c8812674e018e88e3b1ba68cc02cadfc8ef","1799420.86166177","No"
"0xc3eb2b91cb7f7d767d813c4020162424bb528e38","1504222.07844749","No"
"0xc46c96266a9121a2bdc3f4b1b97338ab1328ab19","14395368.9299918","No"
"0xc71791fe5a349cf266864ac164c3528f6d3f78fd","1799420.86166177","No"
"0xc9f1d590d7202c073e6b3bfdd1f61f5d01ca99b3","3598841.73249796","No"
"0xc9fc1a7fa5545f21e454c78957a5fd4a1d83a999","19458292.6673614","No"
"0xcb40519cc875b88e69c6f7d1e2017784e7ddcde6","1799420.86166177","No"
"0xcb68359be68e86a1f8d489d5b10ee96d49b8be3f","1.879E-06","No"
"0xcb7b2c9699e860d22474b9949c51fda4e05cfbf4","5866112.70314598","No"
"0xcc4292d960e9966510d490a9738094b4a1516538","3080215.68992142","No"
"0xcea1c8482094d49a4c6aef1f5b504b3ccfbfb2ac","96593.665080573","No"
"0xcf1717129cb963ff53f3ffc3983c51a49d9e936a","3598841.73249796","No"
"0xcf6ece3d18934d7867998b394ea443dfa2f1c3ac","2519189.41183113","No"
"0xd1780454b5cd08698d0fa80303b8bc70edc56d0b","4195844.76023342","No"
"0xd6eece63a087be718654eda42e4968977dbdec1e","686676.548753741","No"
"0xd940baedc465428c77fa4d1c42849ef98a883060","552403.090153246","No"
"0xdc4c43033376b4b4eb2e4c716ef6decbe6aaa866","8694663.83287624","No"
"0xdf7f1436c9bd1cd667906bba1c298c3f15cbd14b","5398262.59415973","No"
"0xe5c09a3b635a5ac6a7b5b2e81dec28ecf39f113a","343037","No"
"0xe69878952deb7bdeb9418daaf00597411de0ea4e","249064.898586174","No"
"0xe7dece3084de6b5a0cb3d17e16df74d61b0fa2c6","1E-09","No"
"0xe98251f512f27e4c7c07138194f2bedf040d37cd","869.043421416","No"
"0xf3cf2e9e08c7d39ee799092b1c55e25ef0c4b225","1799420.86166177","No"
